"ID","point5.8.dentigerous.arm.width.resids","point7.5.dentigerous.arm.base.resids","point1.2.lower.jaw.length.resids","point8.9.dentigerous.arm.depth.resids","point2.11.palatine.height.resids","point2.3.jaw.closing.inlever.resids","point15.16.cranial.height.resids","point14.15.orbit.diameter.resids","point2.18.suspensorium.length.resids","point9.10.ascending.proess.length.resids","point2.4.opening.inlever.resids","point12.19.nasal.tissue.protrusion.resids","point11.14.ectopterygoid.resids","point16.18.head.depth.resids","point12.13.maxillary.head.protrusion.resids","point6.11.maxilla.length.resids","point11.13.maxillary.head.height.resids","point17.18.pelvic.girdle.length.resids","population"
"C106",0.069869315,0.042208504,0.076399107,0.078868451,0.041646942,0.04622756,0.049573616,0.056455756,-0.026716032,-0.110690598,0.036936055,-0.612846217,0.041783991,-0.00327192,0.145343664,0.050910981,0.274264728,0.014511828,"CRP"
"C107",-0.016392122,-0.129386796,0.063033079,0.084721116,0.057223358,-0.012807215,0.008243585,0.157892985,0.063632927,-0.096568123,0.065875753,0.341115975,-0.137211113,0.041830036,0.019681373,0.042653752,0.001912433,0.081952882,"CRP"
"C108",0.099610012,0.215420763,0.071429986,0.116915253,0.088736799,0.146975747,0.215812368,0.076920939,0.047162049,-0.062202603,0.320111678,0.124658325,0.155526034,0.145780451,0.373084963,0.093317421,0.26813095,0.118209736,"CRP"
"C110",0.055725078,0.09433151,0.015613268,-0.077265521,0.046185806,-0.027495033,0.123730034,-0.068183141,-0.022496217,0.144718153,-0.01166797,-0.022998757,0.05571895,-0.034150432,0.047876962,0.055526462,0.143090547,-0.021958861,"CRP"
"C111",0.094689837,0.106469063,0.08941977,0.053605914,0.09607242,0.157387698,0.084681321,0.019671106,-0.043786428,0.291305875,0.077901714,0.437358773,-0.003836876,-0.001446729,0.206689203,0.081295844,0.143475778,-0.000404192,"CRP"
"C113",-0.01781402,0.09571281,-0.069400076,-0.141729879,0.018032394,-0.056572355,0.133942862,-0.181836082,-0.113117858,-0.080260211,0.372784707,0.207146941,0.037684241,0.050623171,0.044102168,0.019801768,0.212933963,0.064414244,"CRP"
"C115",-0.031707957,-0.068062583,-0.056877806,-0.06378431,-0.059756043,-0.116989492,0.037611242,-0.058788897,-0.076743686,0.081182693,-0.148921653,0.254093502,-0.201580227,-0.041612012,-0.106050704,-0.054554964,0.208115015,-0.117554432,"CRP"
"C117",0.040088348,0.098067254,0.047878078,0.045063631,-0.042727259,0.010885134,0.031257909,-0.054293679,-0.006067252,0.171276176,-0.026878373,-0.129083648,0.171038182,-0.040849165,0.05241593,-0.028266832,0.047424105,-0.002272054,"CRP"
"C118",-0.105226332,-0.046413328,0.01615312,0.000596902,-0.026854085,0.057347153,-0.136379502,-0.003399464,-0.022167558,-0.157582568,0.082614612,-0.065357689,0.00696061,-0.04354425,-0.018892766,-0.019342545,-0.191913976,-0.012035886,"CRP"
"C119",-0.066124178,-0.0453399,0.003775592,0.060790029,0.035367533,0.068432485,-0.194285175,0.058427884,-0.019650536,-0.358988288,0.126193301,-0.212522042,0.178329087,-0.0252288,-0.276619739,-0.024713229,-0.126510816,-0.071600184,"CRP"
